musica,artista,genero,popularidade,danceability,energy,valence,bpm,loudness,status_hit
Sanatorio,BBS Paranoicos,hard-rock,36,0.458,0.926,0.586,160.051,-4.633,Normal
Papo Reto (Prazer É Sexo O Resto É Negócio),Charlie Brown Jr.,hard-rock,34,0.639,0.985,0.545,101.069,-2.796,Normal
Dubmundos - Ao Vivo | Acústico,Raimundos;Oriente,hard-rock,35,0.607,0.904,0.789,97.052,-3.476,Normal
"Papo Reto (Prazer é Sexo, o Resto é Negócio) - Ao Vivo - Chegou Quem Faltava",Charlie Brown Jr.,hard-rock,34,0.366,0.979,0.355,110.337,-5.655,Normal
Selim - Ao Vivo | Acústico,Raimundos;Fred Castro,hard-rock,35,0.328,0.74,0.357,111.542,-3.878,Normal
Fly Away From Here,Aerosmith,hard-rock,63,0.387,0.686,0.171,142.091,-5.368,Normal
The Day I Met You,Lillian Axe,hard-rock,41,0.529,0.291,0.183,104.973,-8.436,Normal
After All These Years,Journey,hard-rock,47,0.411,0.585,0.17,127.618,-5.563,Normal
Alles erreichen,Kind Kaputt,hard-rock,34,0.491,0.969,0.556,187.344,-3.395,Normal
Why Can't This Be Love,Van Halen,hard-rock,66,0.531,0.626,0.746,88.236,-13.371,Normal
The Mob Rules (2021 Mix),Black Sabbath,hard-rock,0,0.302,0.96,0.373,144.712,-6.242,Normal
Perigo,Medulla,hard-rock,34,0.689,0.738,0.368,121.941,-6.051,Normal
You Shook Me All Night Long,AC/DC,hard-rock,66,0.529,0.768,0.769,127.316,-5.51,Normal
The Wicker Man - 2015 Remaster,Iron Maiden,hard-rock,59,0.424,0.98,0.296,101.502,-4.33,Normal
Eterno Retorno,Medulla,hard-rock,34,0.604,0.477,0.375,113.943,-8.203,Normal
Days Of Future Past,Iron Maiden,hard-rock,55,0.433,0.92,0.476,92.466,-4.738,Normal
Vivendo Nesse Absurdo,Charlie Brown Jr.,hard-rock,34,0.215,0.75,0.284,76.764,-6.199,Normal
"The Sick, The Dying… And The Dead!",Megadeth,hard-rock,61,0.303,0.976,0.193,88.536,-3.583,Normal
"Mighty Wings - From ""Top Gun"" Original Soundtrack",Cheap Trick,hard-rock,56,0.467,0.937,0.848,158.071,-8.285,Normal
Homem primata,Titãs,hard-rock,34,0.636,0.731,0.933,81.422,-12.533,Normal
Sem Medo Da Escuridão,Charlie Brown Jr.;MV Bill,hard-rock,34,0.7,0.937,0.513,112.995,-5.548,Normal
A Arte de Fazer Inimigos,Gloria,hard-rock,34,0.566,0.964,0.571,140.022,-2.507,Normal
Punaista Ja Makeaa,Popeda,hard-rock,34,0.434,0.321,0.273,77.863,-8.473,Normal
La Noche,Los Prisioneros,hard-rock,35,0.309,0.585,0.551,68.205,-8.931,Normal
Flight of Icarus - 2015 Remaster,Iron Maiden,hard-rock,61,0.368,0.917,0.343,110.455,-4.829,Normal
Reel Around the Fountain,Fun People,hard-rock,35,0.573,0.652,0.624,127.902,-6.839,Normal
Sonífera ilha,Titãs,hard-rock,34,0.619,0.809,0.937,146.627,-7.782,Normal
¿Por Qué No Se Van?,Los Prisioneros,hard-rock,35,0.755,0.796,0.94,152.153,-9.621,Normal
Exitus,Böhse Onkelz,hard-rock,34,0.423,0.796,0.247,74.991,-5.196,Normal
Paramar (En Vivo),Los Prisioneros,hard-rock,35,0.449,0.838,0.366,137.382,-5.293,Normal
Aa uu,Titãs,hard-rock,34,0.698,0.745,0.854,135.699,-11.976,Normal
Ela Vai Voltar (Todos os Defeitos de uma Mulher Perfeita) - Ao Vivo - Chegou Quem Faltava,Charlie Brown Jr.,hard-rock,34,0.52,0.917,0.278,104.238,-5.765,Normal
Rock Star - Ao Vivo - Chegou Quem Faltava,Charlie Brown Jr.,hard-rock,34,0.45,0.981,0.382,81.199,-5.019,Normal
Eugenia,Fiskales Ad-Hok,hard-rock,35,0.261,0.955,0.532,157.168,-7.461,Normal
Talvez A Metade Do Caminho,Charlie Brown Jr.,hard-rock,34,0.56,0.972,0.587,92.125,-4.457,Normal
Tahdotko Mut Tosiaan,Popeda,hard-rock,34,0.384,0.849,0.522,93.037,-5.502,Normal
Deutschland im Herbst,Böhse Onkelz,hard-rock,34,0.34,0.842,0.48,180.257,-12.694,Normal
Kersantti Karoliina,Popeda,hard-rock,34,0.637,0.925,0.92,128.027,-4.016,Normal
Maracatu de Tiro Certeiro,Chico Science;Nação Zumbi,hard-rock,35,0.569,0.813,0.452,102.705,-7.93,Normal
O Côro Vai Comê,Charlie Brown Jr.,hard-rock,34,0.713,0.838,0.975,147.602,-4.404,Normal
Ouviu-Se Falar - Extra - Turne Internacional,Charlie Brown Jr.,hard-rock,34,0.335,0.95,0.312,89.384,-5.626,Normal
Comigo ninguém tira onda,Charlie Brown Jr.,hard-rock,34,0.563,0.968,0.571,138.065,-4.088,Normal
Wir schreiben Geschichte - Bonus Track,Böhse Onkelz,hard-rock,34,0.594,0.676,0.703,132.019,-12.519,Normal
A Casa Em Frente Ao Cemitério,Matanza,hard-rock,34,0.553,0.945,0.593,126.078,-6.058,Normal
Quando Bebe Desse Jeito,Matanza,hard-rock,34,0.366,0.995,0.686,188.931,-3.155,Normal
Bê a Bá - Ao Vivo | Acústico,Raimundos,hard-rock,35,0.358,0.916,0.348,161.703,-3.571,Normal
Wir sind immer für euch da,Böhse Onkelz,hard-rock,34,0.328,0.875,0.52,151.492,-12.686,Normal
All The Way Up (feat. Infared),Fat Joe;Remy Ma;French Montana;InfaRed,hardcore,66,0.536,0.721,0.393,117.139,-6.44,Normal
Se Acabo (feat. Method Man) - Remix,The Beatnuts;Method Man,hardcore,72,0.935,0.519,0.884,96.97,-6.482,Hit
Hypnotize - 2014 Remaster,The Notorious B.I.G.,hardcore,80,0.901,0.697,0.67,93.941,-3.439,Hit
X Gon' Give It To Ya,DMX,hardcore,74,0.761,0.899,0.673,95.027,-3.09,Hit
Impossible,I Am King,hardcore,62,0.455,0.758,0.378,89.966,-6.349,Normal
Big Poppa - 2005 Remaster,The Notorious B.I.G.,hardcore,79,0.78,0.575,0.773,84.492,-7.247,Hit
Bladow!!,Busta Rhymes,hardcore,0,0.765,0.705,0.642,88.316,-7.39,Normal
Niggaz 4 Life,N.W.A.,hardcore,2,0.809,0.858,0.529,93.112,-6.089,Normal
What You Want,Mase;Total,hardcore,0,0.838,0.72,0.846,93.761,-6.593,Normal
Hypnotize,The Notorious B.I.G.,hardcore,0,0.895,0.694,0.632,93.94,-4.384,Normal
One More Chance - Hip Hop Mix,The Notorious B.I.G.,hardcore,0,0.886,0.863,0.737,90.941,-3.839,Normal
Hypnotize,The Notorious B.I.G.,hardcore,0,0.922,0.573,0.642,93.929,-5.164,Normal
How To Roll A Blunt,Redman,hardcore,1,0.644,0.66,0.775,184.208,-11.175,Normal
Hypnotize - 2014 Remaster,The Notorious B.I.G.,hardcore,0,0.9,0.697,0.67,93.94,-3.439,Normal
Pioneer the Frontier,Wu-Tang Clan,hardcore,0,0.668,0.847,0.7,82.004,-4.49,Normal
Feel So Good,Mase,hardcore,0,0.822,0.703,0.536,105.155,-8.464,Normal
Put Your Hands Where My Eyes Could See,Busta Rhymes,hardcore,0,0.916,0.63,0.693,99.493,-6.815,Normal
Will They Die for You,Mase;Lil' Kim;Puff Daddy,hardcore,0,0.655,0.736,0.721,102.771,-7.297,Normal
Welcome Back,Mase,hardcore,0,0.764,0.744,0.511,88.426,-2.34,Normal
The Violence,Rise Against,hardcore,1,0.296,0.921,0.559,183.983,-2.468,Normal
Making Christmas,Rise Against,hardcore,0,0.515,0.97,0.609,163.912,-4.825,Normal
Making Christmas,Rise Against,hardcore,0,0.515,0.97,0.609,163.912,-4.825,Normal
The Taste of Ink,The Used,hardcore,0,0.533,0.908,0.486,98.064,-2.999,Normal
Hypnotize - 2007 Remaster,The Notorious B.I.G.,hardcore,72,0.895,0.694,0.632,93.944,-4.384,Hit
Crimewave,Crystal Castles,hardcore,69,0.746,0.691,0.888,119.982,-7.533,Normal
Big Poppa - 2007 Remaster,The Notorious B.I.G.,hardcore,72,0.765,0.671,0.798,84.5,-5.249,Hit
Poppin' Them Thangs,G-Unit,hardcore,37,0.768,0.753,0.935,88.022,-3.316,Normal
NY Se Mumbai,Nas;DIVINE;Naezy;Ranveer Singh,hardcore,39,0.752,0.833,0.271,104.989,-7.575,Normal
Vanished,Crystal Castles,hardcore,69,0.713,0.868,0.641,119.98,-6.644,Normal
N.Y. State of Mind,Nas,hardcore,72,0.665,0.91,0.887,84.099,-4.682,Hit
Fuck Tha Police,N.W.A.,hardcore,71,0.859,0.75,0.857,98.691,-8.325,Hit
Hail Mary,Makaveli,hardcore,70,0.696,0.636,0.358,81.593,-6.915,Hit
Touch It,Busta Rhymes,hardcore,60,0.658,0.551,0.442,138.335,-6.62,Normal
All The Way Up (feat. Infared),Fat Joe;Remy Ma;French Montana;InfaRed,hardcore,63,0.414,0.807,0.409,175.158,-4.12,Normal
Lean Back,Terror Squad;Fat Joe;Remy Ma,hardcore,67,0.783,0.916,0.695,95.321,-3.344,Normal
"Shook Ones, Pt. II",Mobb Deep,hardcore,76,0.763,0.786,0.504,93.857,-6.472,Hit
My Name (feat. Eminem & Nate Dogg),Xzibit;Eminem;Nate Dogg,hardcore,62,0.842,0.738,0.597,85.873,-5.114,Normal
Return of the Tres,Delinquent Habits,hardcore,61,0.725,0.8,0.471,100.609,-6.829,Normal
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan;Method Man;Raekwon;Inspectah Deck;Buddha Monk,hardcore,75,0.479,0.549,0.576,180.985,-10.551,Hit
Straight Outta Compton,N.W.A.,hardcore,72,0.834,0.878,0.418,102.848,-9.484,Hit
Savior,Rise Against,hardcore,75,0.554,0.932,0.478,112.49,-3.424,Hit
Survival of the Fittest,Mobb Deep,hardcore,71,0.813,0.703,0.241,94.828,-5.077,Hit
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,The Notorious B.I.G.;Mase;Diddy,hardcore,75,0.845,0.884,0.904,104.536,-4.506,Hit
Juicy - 2005 Remaster,The Notorious B.I.G.,hardcore,76,0.889,0.818,0.782,96.063,-4.639,Hit
Where The Hood At,DMX,hardcore,71,0.537,0.948,0.792,186.151,-3.063,Hit
Return Of The Tres,Delinquent Habits,hardcore,60,0.725,0.808,0.539,100.578,-6.843,Normal
Real Hip-Hop - Pete Rock Remix,Das EFX;Pete Rock,hardcore,0,0.727,0.869,0.837,93.08,-5.84,Normal
Real Hip-Hop,Das EFX,hardcore,0,0.858,0.76,0.951,93.083,-7.895,Normal
Real Hip-Hop,Das EFX,hardcore,0,0.858,0.76,0.951,93.083,-7.895,Normal
X Gon' Give It To Ya - Int'l Bonus track,DMX,hardcore,62,0.754,0.825,0.64,95.073,-5.366,Normal
Proud to Be Black,Run–D.M.C.,hardcore,5,0.832,0.734,0.909,170.065,-9.165,Normal
I Shot Ya - Remix,LL COOL J;Fat Joe;Foxy Brown;Keith Murray;Prodigy,hardcore,0,0.54,0.837,0.616,174.207,-5.405,Normal
Foe Life,Mack 10;Ice Cube,hardcore,0,0.913,0.687,0.802,91.052,-4.821,Normal
It's Been A Long Time,Rakim,hardcore,0,0.841,0.579,0.854,88.67,-7.402,Normal
Suicidal Thoughts - 2005 Remaster,The Notorious B.I.G.,hardcore,69,0.604,0.501,0.0956,78.61,-10.171,Normal
No More ?'s,Eazy-E;Ice Cube,hardcore,32,0.958,0.652,0.559,105.663,-8.978,Normal
Me And My Girlfriend,Makaveli,hardcore,64,0.828,0.893,0.711,85.95,-4.567,Normal
Boyz-N-The-Hood,Eazy-E,hardcore,69,0.785,0.479,0.727,87.691,-10.247,Normal
Regulate,Warren G;Nate Dogg,hardcore,43,0.858,0.583,0.755,95.285,-10.921,Normal
93 'Til Infinity,Souls Of Mischief,hardcore,71,0.59,0.672,0.688,206.247,-11.792,Hit
The Message,Nas,hardcore,65,0.614,0.543,0.485,178.422,-7.178,Normal
"Beamer, Benz, Or Bentley",Lloyd Banks;Juelz Santana,hardcore,59,0.652,0.671,0.518,159.963,-5.376,Normal
If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas;Ms. Lauryn Hill,hardcore,70,0.879,0.564,0.523,93.908,-7.682,Hit
Who Shot Ya? - 2005 Remaster,The Notorious B.I.G.,hardcore,67,0.831,0.682,0.6,91.771,-5.697,Normal
Ruff Ryders' Anthem,DMX,hardcore,70,0.88,0.577,0.74,90.991,-8.093,Hit
Nas Is Like,Nas,hardcore,67,0.634,0.845,0.929,94.0,-5.058,Normal
King Tee's Beer Stand,King Tee,hardcore,57,0.894,0.603,0.93,100.313,-10.805,Normal
"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",The Notorious B.I.G.;Avery Storm;Diddy;Jagged Edge;Nelly,hardcore,35,0.833,0.628,0.648,106.328,-7.04,Normal
Shit Hits The Fan,Obie Trice;Dr. Dre,hardcore,65,0.786,0.9,0.627,91.984,-0.839,Normal
Gangsta Nation,Westside Connection,hardcore,67,0.843,0.7,0.675,95.05,-3.249,Normal
E. Coli (feat. Earl Sweatshirt),The Alchemist;Earl Sweatshirt,hardcore,72,0.322,0.555,0.397,96.019,-8.726,Hit
Caterpillar (feat. Eminem & King Green),"Royce Da 5'9"";Eminem;King Green",hardcore,57,0.706,0.745,0.598,91.08,-5.97,Normal
Insane in the Brain,Cypress Hill,hardcore,75,0.897,0.611,0.769,102.304,-10.489,Hit
Selamanya,Thirteen;Rudy Nugraha Putra;Raynard Rahardja;Jodi Melani;Ardiansyah Darmawangsa,hardcore,41,0.5,0.952,0.303,115.025,-2.206,Normal
Break Ya Neck,Busta Rhymes,hardcore,69,0.82,0.809,0.737,83.011,-6.759,Normal
When I B On Tha Mic,Rakim,hardcore,65,0.836,0.484,0.839,95.941,-7.332,Normal
Notorious Thugs - 2014 Remaster,The Notorious B.I.G.,hardcore,68,0.704,0.873,0.742,154.914,-4.057,Normal
Party Up,DMX,hardcore,72,0.51,0.931,0.53,201.936,-3.302,Hit
Omong Kosong,Seringai,hardcore,42,0.526,0.816,0.629,100.596,-7.87,Normal
Burn,Crown The Empire,hardcore,0,0.444,0.843,0.399,153.959,-5.376,Normal
Listen!!! - Radio Edit,Talib Kweli,hardcore,0,0.719,0.794,0.632,98.046,-6.965,Normal
Recognize,The LOX;Eve,hardcore,0,0.748,0.778,0.715,92.025,-5.108,Normal
Dilarang Di Bandung,Seringai,hardcore,42,0.587,0.898,0.405,132.499,-3.781,Normal
Making Christmas,Rise Against,hardcore,39,0.486,0.958,0.595,163.866,-4.762,Normal
"Money, Power & Respect - Club Mix",The LOX,hardcore,0,0.703,0.745,0.47,95.48,-3.9,Normal
Lean Back - NGHTMRE Remix,Terror Squad;NGHTMRE,hardcore,0,0.74,0.943,0.894,101.963,-2.272,Normal
Corps Of Corpses,Hawthorne Heights,hardcore,0,0.399,0.913,0.225,146.959,-4.765,Normal
"Unstoppable - From The ""He Got Game"" Soundtrack",Public Enemy;KRS-One,hardcore,0,0.895,0.644,0.648,91.997,-6.236,Normal
Holiday in Cambodia - Single Version,Dead Kennedys,hardcore,42,0.135,0.924,0.486,197.706,-5.342,Normal
I Know What You Want (feat. Flipmode Squad),Busta Rhymes;Mariah Carey;Flipmode Squad,hardcore,70,0.648,0.759,0.518,85.996,-4.315,Hit
Se Acabo,The Beatnuts;Method Man,hardcore,46,0.937,0.527,0.908,96.973,-6.546,Normal
X Gon' Give It To Ya,DMX,hardcore,44,0.511,0.898,0.638,95.044,-3.714,Normal
Sound of da Police,KRS-One,hardcore,64,0.794,0.95,0.324,94.984,-8.78,Normal
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe;Ja Rule;Ashanti,hardcore,74,0.835,0.707,0.919,93.955,-5.074,Hit
Hold Ya Head,The Notorious B.I.G.,hardcore,35,0.695,0.564,0.271,79.857,-6.884,Normal
The World Is Yours,Nas,hardcore,68,0.678,0.794,0.54,87.374,-6.186,Normal
Ms. Fat Booty,Mos Def,hardcore,71,0.782,0.589,0.869,90.438,-4.827,Hit
Wave Gods,Nas;A$AP Rocky;DJ Premier,hardcore,61,0.601,0.938,0.762,87.129,-4.382,Normal
Snitch,Obie Trice;Akon,hardcore,59,0.781,0.807,0.605,90.008,-5.574,Normal
Chin Check,N.W.A.,hardcore,65,0.906,0.775,0.838,100.054,-5.775,Normal
Notorious Thugs (feat. Bone Thugs-n-Harmony) - 2007 Remaster,The Notorious B.I.G.;Bone Thugs-N-Harmony,hardcore,60,0.738,0.782,0.654,154.875,-6.315,Normal
All The Way Up (Remix),Fat Joe;Remy Ma;David Guetta;French Montana;InfaRed;GLOWINTHEDARK,hardcore,50,0.671,0.894,0.32,98.013,-3.701,Normal
EPMD 2 (feat. Eminem & EPMD),Nas;Eminem;EPMD,hardcore,56,0.689,0.83,0.703,94.566,-4.047,Normal
I Hate Everything (feat. Action Bronson),The Alchemist;Action Bronson,hardcore,64,0.508,0.6,0.337,153.022,-9.632,Normal
Twinz (feat. Fat Joe),Big Pun;Fat Joe,hardcore,67,0.633,0.764,0.522,94.971,-7.212,Normal
Kerosene,Crystal Castles,hardcore,67,0.519,0.546,0.0862,115.799,-9.368,Normal
Party We Will Throw Now!,Warren G;Nate Dogg;The Game,hardcore,65,0.934,0.562,0.712,96.792,-4.609,Normal
Get Money,Junior M.A.F.I.A.,hardcore,0,0.736,0.828,0.899,91.224,-5.835,Normal
Deadly Combination (feat. 2Pac),Big L;2Pac,hardcore,28,0.902,0.513,0.628,91.477,-10.029,Normal
Under The Knife,Rise Against,hardcore,60,0.572,0.984,0.524,104.345,-3.847,Normal
Pistol Pistol (Remix),Obie Trice,hardcore,58,0.795,0.848,0.79,86.03,-3.812,Normal
Without a Choice,Useless ID,hardcore,38,0.463,0.991,0.419,197.167,-2.074,Normal
She's a Pro,Black Rob;Denaun,hardcore,0,0.799,0.871,0.574,97.045,-5.04,Normal
Party and Bullshit - 2008 Remaster,The Notorious B.I.G.,hardcore,68,0.433,0.862,0.722,200.817,-3.89,Normal
Warrior Part 2,Lloyd Banks,hardcore,60,0.716,0.893,0.889,172.156,-2.397,Normal
Keep The Beat,Eric B. & Rakim,hardcore,0,0.846,0.64,0.706,89.346,-13.263,Normal
Boox,Dj Promo,hardcore,37,0.719,0.518,0.94,164.948,-10.613,Normal
Get Money,Junior M.A.F.I.A.,hardcore,0,0.732,0.825,0.915,91.257,-5.933,Normal
Throw Ya Gunz,Onyx,hardcore,2,0.821,0.686,0.708,94.015,-9.158,Normal
Y'all Know Who Killed Him,Black Rob;The Notorious B.I.G.,hardcore,0,0.573,0.749,0.532,168.317,-7.076,Normal
Down the Line Joint,Black Rob;G. Dep;Mark Curry;Mase;Puff Daddy,hardcore,0,0.779,0.723,0.922,94.279,-7.098,Normal
Whoa!,Black Rob,hardcore,0,0.737,0.705,0.557,86.401,-6.231,Normal
Whoa!,Black Rob,hardcore,0,0.737,0.705,0.557,86.401,-6.231,Normal
Positively Positive,Good Clean Fun,hardcore,38,0.372,0.938,0.812,111.277,-2.929,Normal
For Ya Mind,Guru;JazzMaTazz;Zion I,hardcore,0,0.662,0.676,0.679,119.697,-8.414,Normal
They Reminisce over You,Pete Rock;C.L. Smooth,hardcore,0,0.755,0.683,0.668,101.793,-10.889,Normal
Mistadobalina,Del The Funky Homosapien,hardcore,0,0.848,0.746,0.628,99.602,-8.62,Normal
Dr. Bombay - Remix,Del The Funky Homosapien,hardcore,0,0.795,0.868,0.688,96.042,-8.976,Normal
Dead Wrong (feat. Eminem) - 2007 Remaster,The Notorious B.I.G.;Eminem,hardcore,55,0.648,0.895,0.817,82.122,-3.187,Normal
Juicy - 2007 Remaster,The Notorious B.I.G.,hardcore,61,0.873,0.816,0.79,96.067,-4.645,Normal
There It Go (The Whistle Song),Juelz Santana,hardcore,61,0.942,0.892,0.595,100.007,-6.363,Normal
Da Enemy,D.I.T.C.;Big L;Fat Joe,hardcore,59,0.647,0.839,0.789,174.201,-6.569,Normal
Mama Said Knock You Out,LL COOL J,hardcore,64,0.791,0.759,0.619,102.382,-7.378,Normal
Life's a Bitch (feat. AZ & Olu Dara),Nas;AZ;Olu Dara,hardcore,63,0.775,0.734,0.342,90.001,-5.41,Normal
All The Way Up (Remix),Fat Joe;Remy Ma;JAY-Z;French Montana;InfaRed,hardcore,60,0.564,0.717,0.423,117.489,-6.403,Normal
Ether,Nas,hardcore,55,0.573,0.831,0.766,76.352,-5.586,Normal
"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix",M.O.P.;Busta Rhymes;Teflon;Remi Martin,hardcore,62,0.68,0.894,0.803,94.089,-4.86,Normal
Bow Down,Westside Connection,hardcore,55,0.892,0.455,0.473,92.885,-11.206,Normal
Gimme the Loot - 2005 Remaster,The Notorious B.I.G.,hardcore,67,0.721,0.662,0.68,94.191,-8.136,Normal
Represent,Nas,hardcore,64,0.708,0.832,0.618,92.428,-4.964,Normal
Da Rockwilder,Method Man;Redman,hardcore,69,0.612,0.659,0.393,99.137,-6.995,Normal
Fresh New Kicks,Dimitri K,hardcore,59,0.613,0.948,0.032,104.864,-2.038,Normal
Hell on Earth (Front Lines),Mobb Deep,hardcore,66,0.875,0.658,0.661,92.038,-3.641,Normal
Still Not a Player (Remix) - Radio Version,Big Pun,hardcore,40,0.9,0.574,0.881,94.071,-7.465,Normal
On Fire,Lloyd Banks,hardcore,64,0.759,0.825,0.429,94.857,-4.289,Normal
Prayer Of The Refugee,Rise Against,hardcore,66,0.198,0.977,0.351,195.795,-3.499,Normal
Get Down - Q-Tip Remix,Craig Mack;Q-Tip,hardcore,0,0.743,0.59,0.183,94.267,-9.324,Normal
Flava in Ya Ear,Craig Mack,hardcore,0,0.762,0.541,0.885,90.032,-8.843,Normal
Flava in Ya Ear,Craig Mack,hardcore,0,0.762,0.541,0.885,90.032,-8.843,Normal
Stay True,Thug Life,hardcore,0,0.899,0.746,0.608,104.099,-6.984,Normal
Flava in Ya Ear - Remix,Craig Mack;Busta Rhymes;LL COOL J;The Notorious B.I.G.;Rampage,hardcore,0,0.52,0.847,0.799,177.377,-5.3,Normal
Le Pertenezco a Tus Ojos,Eterna Inocencia,hardcore,37,0.309,0.928,0.281,138.793,-3.734,Normal
Tragedi,Seringai,hardcore,37,0.58,0.895,0.503,82.509,-4.805,Normal
Nuestras Fronteras,Eterna Inocencia,hardcore,36,0.405,0.937,0.216,140.017,-4.485,Normal
Program Party Seringai,Seringai,hardcore,38,0.648,0.8,0.37,94.991,-5.433,Normal
This D.J.,Warren G;O.G.L.B.,hardcore,38,0.804,0.505,0.562,92.034,-8.19,Normal
Big Poppa - 2005 Remaster,The Notorious B.I.G.,hardcore,63,0.73,0.608,0.753,84.555,-6.417,Normal
Boyz-N-The-Hood - Remix,Eazy-E;Ice Cube;DJ Yella,hardcore,27,0.86,0.496,0.756,87.807,-8.013,Normal
G.O.A.T. (feat. Ty Dolla $ign & Bella Alubo),The Notorious B.I.G.;Ty Dolla $ign;Bella Alubo,hardcore,57,0.656,0.594,0.597,66.488,-7.191,Normal
Gangsta Gangsta,N.W.A.,hardcore,64,0.894,0.698,0.695,98.104,-8.264,Normal
Can I Kick It?,A Tribe Called Quest,hardcore,70,0.848,0.666,0.744,96.662,-6.547,Hit
Airplanes (Freestyle),"Royce Da 5'9""",hardcore,51,0.586,0.877,0.615,93.106,-6.076,Normal
Passin' Me By,The Pharcyde,hardcore,70,0.759,0.756,0.613,87.059,-8.145,Hit
Call 9-1-1,Westside Connection,hardcore,57,0.751,0.884,0.816,77.91,-3.54,Normal
Notorious B.I.G. (feat. Lil' Kim & Puff Daddy) - 2005 Remaster,The Notorious B.I.G.;Lil' Kim;Diddy,hardcore,60,0.904,0.826,0.824,101.35,-2.372,Normal
Kosong,Thirteen,hardcore,34,0.498,0.996,0.184,74.988,-0.866,Normal
"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)",Wu-Tang Clan;RZA;Method Man;Inspectah Deck;Raekwon;U-God;Ol' Dirty Bastard;Ghostface Killah;GZA,hardcore,67,0.817,0.552,0.808,102.011,-10.8,Normal
Die for Something,D-Ceptor;X-Treme,hardcore,35,0.402,0.981,0.307,180.07,-2.214,Normal
"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)",Wu-Tang Clan;RZA;Inspectah Deck;Method Man,hardcore,66,0.826,0.566,0.655,99.131,-10.747,Normal
Alles Kan Kapot - Radio Edit,Rizer;Aarthos;Alex Soze,hardcore,34,0.393,0.958,0.146,160.261,-2.075,Normal
6 'n the Mornin',ICE-T,hardcore,0,0.823,0.745,0.579,91.919,-6.637,Normal
Drunk On A Bike,SNFU,hardcore,34,0.281,0.962,0.319,113.174,-5.723,Normal
Pretty Good Year,The Loved Ones,hardcore,36,0.52,0.942,0.852,133.558,-3.665,Normal
Just Rhymin' with Biz,Biz Markie,hardcore,0,0.876,0.898,0.748,93.655,-8.211,Normal
New Jack Hustler (Nino's Theme),ICE-T,hardcore,0,0.83,0.859,0.653,109.319,-9.213,Normal
New Jack Hustler (Nino's Theme),ICE-T,hardcore,0,0.83,0.859,0.653,109.319,-9.213,Normal
Kill the Noise - Rude Convict Remix,E-Force;Luna;Rude Convict,hardcore,0,0.568,0.966,0.355,160.091,-2.869,Normal
Ultimate Devotion,Strung Out,hardcore,35,0.46,0.96,0.359,109.165,-5.157,Normal
Right About Now,Millencolin,hardcore,36,0.439,0.99,0.476,107.687,-2.203,Normal
Cuando Pasan las Madrugadas,Eterna Inocencia,hardcore,36,0.231,0.949,0.59,163.872,-2.919,Normal
A Elsa y Juan,Eterna Inocencia,hardcore,35,0.477,0.958,0.552,98.948,-4.122,Normal
No bien abran las flores,Eterna Inocencia;Marina Fages,hardcore,35,0.567,0.726,0.442,129.999,-6.209,Normal
Juicy,The Notorious B.I.G.,hardcore,62,0.887,0.767,0.607,97.437,-4.311,Normal
I Know What You Want (feat. Flipmode Squad),Busta Rhymes;Mariah Carey;Flipmode Squad,hardcore,63,0.658,0.771,0.516,85.949,-4.318,Normal
You Know,Funk Flex;CJ,hardcore,55,0.891,0.585,0.24,125.024,-6.122,Normal
Tragedy,Being As An Ocean,hardcore,53,0.464,0.707,0.2,163.893,-5.171,Normal
Simon Says,Pharoahe Monch,hardcore,58,0.622,0.913,0.546,92.222,-3.701,Normal
Put It On,Big L,hardcore,64,0.711,0.62,0.805,179.817,-10.174,Normal
Hands Up,Lloyd Banks;50 Cent,hardcore,61,0.799,0.878,0.594,95.0,-2.282,Normal
It Ain't Hard to Tell,Nas,hardcore,65,0.69,0.729,0.357,91.376,-5.819,Normal
Jordan,From Alaska,hardcore,35,0.548,0.942,0.347,119.954,-5.057,Normal
Terrorist Threats,Westside Connection,hardcore,55,0.822,0.919,0.725,93.998,-5.282,Normal
Switchez,Eazy-E,hardcore,59,0.895,0.874,0.701,93.019,-1.906,Normal
Hip Hop Hooray,Naughty By Nature,hardcore,67,0.862,0.642,0.765,99.2,-13.652,Normal
"Biggie/Tupac Live Freestyle (Funkmaster Flex & Big Kap Feat. DJ Mister Cee, Notorious B.I.G & Tupac)",Funk Flex;Big Kap;DJ Mister Cee;The Notorious B.I.G.;2Pac,hardcore,60,0.57,0.941,0.814,188.625,-2.853,Normal
Tal Vez,Peor es Nada,hardcore,35,0.222,0.599,0.286,158.173,-6.039,Normal
Retrato,Flamman & Abraxas,hardcore,34,0.784,0.618,0.18,108.357,-10.385,Normal
Just a Friend,Biz Markie,hardcore,0,0.866,0.663,0.83,85.298,-9.001,Normal
The Animal and the Machine,Strung Out,hardcore,35,0.37,0.974,0.544,129.936,-3.522,Normal
